,name,lat,lng,,comment,link
C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\,C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\2018-06-04_09-30-22.jpg,13.40625228,80.30672283,2018-06-04_09-30-22.jpg,River Connecting to the lake,https://lh3.googleusercontent.com/vLaGtsA6r1K6sptvv-1PmbZ9v_GiZqgBNa9rVRc_XTc4m2KwV8ozfRAfEYcTRvG0knNz7DQdcuIv1j4n3q0O_Wo4bhwjCArqi3ir5iWTJ4wlSUyy-6cotxNoTmQ5aW0pAsZJCaL3QTti4ihSPcudGO4kh84-XpM2UHPZjlDaixyaPNCJsOAd_Jy5Nks4NRLef-nOUOlOqf17gUjkFUH2sQM6daI8ihd8zmYLlEoVIAeCbmF9w-iIxEMFRDzoIFG2fD2-MUrEjem8fCV8_Sgk8hqekgpAYVEZJbiIG7APBegVs9LZh9WYYw32EYFaNzSz4xJk5YmYNCHQ2Fd56RHn1u-zZ8RxiABjwxB4PmTPdyJhditmbO1g5l4vQOGI45PYZs8V9NditAtF99CYf7ehrkrMlDrCqEQ0TTJxO-84Q93pHJzm_Ww5YMsQR7uLhxuqyuqmo2T47uwPOiVu95-gxNQe7eCJctdiASPD5mOvR0j6c7cJhzv38_AFicnFhQw2UtUySuYYbj7q_EQY9Btmr5kHdJL2xi7ccGQoENmpHWthTVfEluutVjVZFhzACNJbw71McF0CwnM7UpNGQ_YKWa85055Cf20mhrr7_lRkAn6jBiZ1dqL_357ScTHKWXyBgcMSawDHf3Ne5dOwjfykiUV-iT56ShxWutZyzpHIEn28DsHNvf6YFFej2TrQ=w223-h297-no?authuser=2
C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\,C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\2018-06-04_09-33-46.jpg,13.40552903,80.30469806,2018-06-04_09-33-46.jpg,Lake at low tide,https://lh3.googleusercontent.com/Lce43mDRXHYgTzIHTW49EAGQ5Bv7dBjqoDGZ1wW4aOkXrK2TIdxJpT1x4wjOgwO9Get7nYF5Ytlm-B8m_LNa5rJyXPg-3wsE_e8Xorh2fCVURBkqUnYgIxrRluPBsci0XS5Manw93jzGXH77g-i5OnYQLGnB77lrwqKbxY0RdbgGp508-Hlf8q6gnTioCbIxXWI9TzdCVHFZUNxDiPVgqrKDMNoofS3LED0BVypg1ZyFgW7MS3hxuPb4x9I6UPOniNbwKKYmFGpwGRuvDYF0fL1Bu8sHpiWjquqJN7omgY42B6_LSCZ8thHeGKKcaU9WaSW05YH7Ws3J_bZFsczKwklK5mkhfn5q6MdC7na7ivbQW9drUPio50fuhJGi4wXs0FBYVVuKqyKPf6zbK0gYd6Z3vbb4ckNX_l5AqzpsF3G3UY4POmovpMrB5pQRW2yf65aFoc8pEaRZr41XPB1k4j2-uHd-uG51HuTVOlyyp5NDNTUAFc6qthizrokQdxen6UhmeQl5K9JAYeU41Z5ebPHSmMlu0ZmA0WyU9NJV2l43evtOyR5FynDtzXFN3eR9dlXcXNfkLNSlsoJCAH1NF7yHwoo9psj1gt-4pWDDt8c9sANrT3tIdaBBF2M4GawolRBKhVZhuSvafLiucLuANa9aaqXAP-1ydSnlPaWf8vHr6QAZ3oyxmIXeAr-2=w834-h625-no?authuser=2
C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\,C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\2018-06-04_09-46-31.jpg,13.41145247,80.29130625,2018-06-04_09-46-31.jpg,Water released with no proper channel,https://lh3.googleusercontent.com/nyz50GipliW4jZ1SKf43_Ss36-KI6RU3ZZK_WuyNhxHpzV2YzNTs9tku_8vahrrB1Cy5YTMEBHchcnR5KYoT_x1FMC43IBOM8RTSdbRNTJ4MXZ1eXZmGR1OgXI90vlZhR6TC-JsBJ7S-hzfgat06jSJp0z4UjTGl6RjBsorpn2Unk4YFLuUS4EGA0vdGrORgUBMycXh01biQ2pr_VmxrTPZvOpK5MSQMyy3wIoBeUEfGGPq0vvXDjwa8pGrIfET2EtP5to6D4E7fF1VLFi2_XHBUbK6OZk0vzZ79Ti5mvmbZbeEkZ6Oc1EOcSK6xp0J9d6HixOKda753U-YZElu9jcnXud36oWPXO4k-JGux5Ci9X9wouJy3K_Im4bC0qnHB2HDJSAtnQ2I6Vy5fhlse-29B9oWCVL6ESwD57brTFndPNF8gkgtw1c8JyBvacli5CVkOPrWLGBzpDiIZwiFaOZQbHtOHpqwjnqRr_zttOOdChPrQU1F7uFMa4BY1av6xmsVptfQym5w_a7JryaLDfELj1h3VLU7PZo8CdTLBJTgZA6cUs95nQ5-yJ-yEEdOdqXZB2LG9HLpI6wiwG4FBTe0kC7YxEFtAD99wdOafpDyZoxdFMgxP9EVn7HSytn7wrzTKO83_h6ttlRMvgF0wFQz7LL1sTHtVhAxH0dDZLJwV9TGos9DIT0w3LAeF=w469-h625-no?authuser=2
C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\,C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\2018-06-04_09-47-22.jpg,13.41136508,80.29140414,2018-06-04_09-47-22.jpg,Water released with no proper channel,https://lh3.googleusercontent.com/Vl2_mP02yzQNtMfQizSlbTcjfrlEaw-3pwfSqZQYAk8F6_3y_ErX8XrRqr6IhnshLuRj8fEXioesL8bINfKwo1f7F6TFpW0z_ZATmF9kWuA-C-Wkso0z8yXadelcngK1jlZcI0R3okicB2RZcMp7lY0nMQMbIf2Au-f5i4XpbhbJ7_dghZSYh7FrUzB9pvLIkf1DlZUnthPAXhJxOPS0pwxQqglY6nJbNCrYm5AYmtlTisNsFLLnSb8PW0f7R5vfZIJbCyaGjIjQufAiUNhnlGBHzzLkWBbAz-xb3k4z_ly56orV5IgBjqfBkoNqLOxSXBTzttsizGPiPxnfYU9Q08Q0uWsgbmpXidd6gf08b3P1r1kOJPbaaS1qqenX7hSTPnCNwOGeWtu_vzuKSGHCGdZVWn0-ctd6QSSvpUXuAi_yToDn8_xT8wOH8VyRTMzL6bDzn2Qge7swR_oHihG5NVMqX-W1NhWiKG5aSxjg3EPOMc2ZzWPKviEleGJKMd9c7bhIthFNDDuZsUsOWflLu2L5lxl4YURMeAwy0m76l_DaMpp5X9p-rA4lkM1h4oA4mnOMG6WoAThySprP1zr1-qD7XuJybr-StCZIUPOWX5GwszGatXERAIXuh_eCidId50HLxAqvFu3EYekkUNXnxG5f8sqjcgr6U-FVUFt3CW7O2iKa5PZQM60GknNS=w469-h625-no?authuser=2
C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\,C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\2018-06-04_09-47-31.jpg,13.41136706,80.29141297,2018-06-04_09-47-31.jpg,Water released with no proper channel,https://lh3.googleusercontent.com/Yf5m0mL1v56LxSIRwUl4J89DWdoLZ90uFhHygKVIhKGINSblYHF-AMoyBue-jGLBV3j5smrQdYYUnDruWoMETvyfqXTH68z0q3GksMsvJUb-5yDiD-7-IQ3tVAJiBe8sRLSBdeFFFNkas2KViqNh8vKu1mo3jgc4PoNiQLgQHeg34P1oUVdf7PX3A1MvpmJclKVPTlCiXbkSMpmDKWwQcvwNTBVStTjbbGaIyoRpfixY46fsxzoXHng-sC6Ai04W8mw3FYBHqoDvBsGvStmFFohOla0kAFilW1nH9xjH__uPd5a8j7NQgxwbI4Xk_okXIhYR1HJ2jWgmEJ94qE7trcKhU_7AsLs5AmXPazTC6GHolRoNdJU1H1TZTeugYBAXCPPVO0ZMMf_ktmdfSr4FxvNm52C-DLnO-hHSFM-elOgtObGICMCfZcQTQPijkldeXFYwaNdey00Kxqih8BmSKvzpd9Z9BSYbJkvq8p9F6NmY9espk-Ioe4m4hsNVQzDpIej_TXKcjhoZZfx1-MNaEzgwOCAKWNMGYfFedbPEEK8OJntgf2XCWUL_HT1Lyut-FxTpX8Uv6n1hzlaAuQjZQXainKfdzvlABeZRUmHMrLvfzUxRn1WeDEE-Et4Prt5DypRG6S6Czu-OOZq3htGHXzYT5VLCn4c4g-1IH-FxwmfM24lQ_CKm-0HfQFXs=w469-h625-no?authuser=2
C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\,C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\2018-06-04_09-53-56.jpg,13.41012044,80.29183719,2018-06-04_09-53-56.jpg,Agriculture Check dam,https://lh3.googleusercontent.com/0U4hyEe-VqT-KmdQ_oD_qYAQ0JHUL3nXdSjKj68ShMDrY_VYq379F_o5jQFAJNIbl9q_EL0emVOSSUNbcZ7AyoAyZm3ipdrG9x1VeONK94lfCJZejFh6rlEJEhRCPtyWVfNpv7bsKBDaookKha6zrJLEBD19qvuLdvVnDJzp3zFf1GgaTa0iD593QNye3jGNQYMWhGykG6gEYsyamkrfOYFZzf68QQtqj_lcsSZjJb68YMs1R-GKjoVsrIwkQcneCjkH9C9LTm1xAKJASSlc_XZwNhWOJH4jjsqyV91Agza3G9i0XwaKmB_qFWMhMFYXLySswed5m7GT-5wxJgiQltmETwxBjxyuFI3NxFkTXOeKED7x9Ljx7bE9VG2FPqekzKhf9vM0tZOG1SjvVbZbg_Wfe4n3vDruv5VvzdCfE7h5HLbfOjfF6P3MbdYA_BvgsfBkAi8uJYW8ox0NbjYy7j-hKdHxlNaUKFWTsX_3lHTXLcEh__XeCN2euHj0-Jgpc6QlIOTmYfv77U7s3w-G_JYTJD267WD2WqsVOKnIMY-ns6xp1WTGrfNZbNEWR61QVS1yO-71SaQYz7lAY9iFxMQ0WI5DDUMrrZeL1yjmd6GGHwnpv7Bi86E_AFYylqBCn-N3N1UuwVfZoShk3VZO-qEOCna2tmIp-_-uZnk3Xdduj84c2kBz-rZ-KpwC=w469-h625-no?authuser=2
C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\,C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\2018-06-04_10-00-10.jpg,13.41124906,80.29192489,2018-06-04_10-00-10.jpg,"Effluent released into the lake, dog guarding the outlet",https://lh3.googleusercontent.com/neub6C4T3Lgi_rMHQsW9MsS4hiwLXhMX-tAgTQ7tTy3_TglAVQp4fTejNnxK0jMhHXxnxhUWjFEbdFmzd0n0zEzFef5ycsbSeUv19iLNZNlRrkeBkLrcQRk1wYLrhFi8kYN7gBH9hOxHD5rxuOwcltnHQulVaXwTee0c8s8fOR2CpBKO4Z5XX6Nk89PPhSKgvd_rKDChg7pySVfM1tBvltycn9FuEfQnoPCn-Ga0Qzn61_LfadLBZWVllmWrvKHK84Lhv16m9rpVSxKE8QA4OxOcTgV2jj9dfnamRaa9AC93BasAoQH8Te9HhJfHi8yrgKPO1qor4U9ZJMoBGfLmDuADlKzPLmooEYcHCmXhJ-ofRVYUwXP5xWYVG3N_vHt0_XyRW-kTPU5WCZ8kcLsqkG051J6e-vKiVIlvaRm88a9kub_uYZ19I009G_ZZpLtJ3t0vSNJaAkXppmYDkvDUn8lUiEhV59CU_zagz53B7FTBmtWKr8paUev6FH3oLwgJTGNshLDR3B2dB52nTRP_woaOCaPawA19Ce5y68LBSp4sNwVPyZuXcnQxsDxCKb9p46g3gmg1IcKqUMP54ybbdfdVo_ApnU_n3urPqz-itVReS0AFxvTi6KlFOR_agEy13ZEioGviqH4eDlxFNpGjw9WoAZFzCRq3jNAkmLKH1IZdD0C_uC6bBnrzp-M_=w469-h625-no?authuser=2
C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\,C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\2018-06-04_10-02-24.jpg,13.41101178,80.2919225,2018-06-04_10-02-24.jpg,Released water visible in the river,https://lh3.googleusercontent.com/7ZPEiY7lob-PVT5jPYLyR2zJpJosp72xZStsLhGcqyxn_Pcd4h6t4NalQetERWbqH4fvXQDkZ41g5NB75d6-5la8MAINblUXgcv-dqyHWPPs2-7fRAJVwzZP-OR8DCTQUN20PIHBlBbFd867hLm4uUTc-72eeDEQslkaaif35Lobhkc-ED9Ys0u0dkIDEIoJ7U3FgB3KxKN1Uyfml90enGYY3AxGxBl_ZpQOly1yAD0qVavePTU_UEs_8_jY6jkf1fMa_5dJDy22I3-wF9M2tz3-Gac5mSiL91ZQPhlLQ-k2qc7ryqMT9ds7EOaSIgAC2qbW144_l0GR11rRVKHJdzB2iz9vcwdYnJNYyNtsEC0uwl0HrjwvMGNHSten1RZNjuc8IShvX6l1M2wYikHG1y80NKSx0kVWbY45FhRl9DWKae7-IRecWQBxPZ_zx55vBU7AlagSJDvzAc6goVYwuk7hYL4y8MaQnt_Z5BuIAavGRnSraZr-UtQz_f0gr1EE3pzfc8ZUsN3RxKBOykIs3Qu-iJk1xwLX52rdV5Zif91Yp-sH-LjLUmnfCi7EueQoASaopf5o1e9DNA52_IEZ5WTIaxIrGLfWXWgYfAEQWQaPjhEDJHyohw01QN-Iklu7sMLz9lF09l1yAtojS8hH7STH-pzdhj6n-9Lvbch70ItnhOEu1dPxQZ4E-rvn=w469-h625-no?authuser=2
C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\,C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\2018-06-04_10-06-30.jpg,13.41170967,80.29125519,2018-06-04_10-06-30.jpg,Green colour of the water,https://lh3.googleusercontent.com/VgT9_dbJM0CnEnByfLJk-z6JC7KKUqJ6ImvCdC1WLHSay6jKgPhtP6NxwnMuP5kkyPPmlJG-q0TDzQWfgqCsvFBUA6kCxPlf87wmaJ4xEiDOIbUSlquGOJvoqRoMkU0RhDwkEb-j89q6_1s6oiciepLiW_Ud3lfHICcWZOZeVt-JOHhZbtXWFKsWxSiZCgdaUBUYqcA8z3MKCKWDiAkuSKwI0Ir3CCGsU9nD542NCvsM5fhxpiBxEgeipuXNn8V8z6QJvhVXYvoJbY74WqfwH0v5NBpmLoiW9oGg23HUVU3CUEkLw2maWOLs4mlGx8QsOvccdplrQOnN3APBwbLfBLMKaMkaN65mjWrQppJho2qTwXCLlq3kN2mMn8ITQ20aQTQaO9f0noX01PIlrSPzoufw5LJ1bdhM2iOaLAyoscfN06or9fUS2i1gnuZDwneONxy9HvLri7dFaIfJsIS07NSsLlr-plKUaEulu1vm21LyAFGZdWiEwmudhX96TZnEhbp5BfbHH7kn7cp04Ju4QEnt52WE1pxICWLxHJNNpUYvt5a21-GsXG85uP6AWCoEVxeQB6UAelIj6wnHuTX9OzGyOxWTDfnhCquALej-5xV1waVYi1RMnCG7VefpHRLpaeiqxQfzwpKVUvh_P30M3XkUpSX9VvHmU7-pBrE2Wt5rZtTnLRBk-x18F9j6=w469-h625-no?authuser=2
C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\,C:\Users\user\Documents\Jeffrey\CTARA\SEM2\TD609\Field Stay\Maps\DR\OSM tracker\2018-06-04_09-23-02\2018-06-04_10-08-12.jpg,13.41165964,80.2911475,2018-06-04_10-08-12.jpg,Thorn Bushes that went into my slippers while tracking and getting chased by the guard dogs,https://lh3.googleusercontent.com/CXAQKYT-4tTFjVyBwp-MY7c2sxGp3W7xVm0U7BtvAVhDPPHfG8PZ_7xFAn8H7Srrp_5GR42e77s7clbxk28BG_xqdvagsTW8Xw71LD_T4iZn-iXbEsp5LHqLgB_x03yeC5mt_gJuN0zsjGy6WjKKkzTE2wwaEAuzxzJ6ElKIbC7Hm1AfR5wB-Jn3zJt4CN5kbWq3EQtmfWccOm46ez4KQhvbUtXzeX6Afdt5ko_NLBazbq09MDb3eDEGbn7y7B2JO6HTGM_i3QN3oFKLncslEKWG7serTKXRmXf7QK1bwkPk4G3EUUdo83kRtPqhX3pMJPP1QHBzYqT-cSgEHooZVXMcjORHHfnKn96cmynYqwNMp0h6upl17uCgJcqLtA6yUYminTAtGNncd2ngtI7h8pzpjs3pEgvrLHuO6cp2bHw6hlRmDyTgTL7hiUGcuQaoPTZFKZQ7LHEgTVIJKkrdzHgphn9zPZXFW0q0MpVVEk7-PNN7eepBwhd0Sq5EZdBNYKxfd8mosYbZc0JGEvkwSWiMvBh-5h7rvh2XSCvFtDYgsko71u0PPYS9YbAxt10L23VVhxUzFymMXupKe-C2OiigTwMQ7MGi3HcY4DQkFQ0KpAIJPydjeOXIspr7Cf6geTHxxL8JtiOWH_8YqKz80dSzZ0TBTDV2xe3HCDDDt66Rh8WtvqNrF03yORIf=w834-h625-no?authuser=2
